Porcentaje de ocupación de Hospitalización general para la atención del COVID-19;;;;;;
;;;;;;
Utlidad;Permite establecer la proporción entre el número de pacientes hospitalizados  con diagnóstico presuntivo o confirmado de Covid-19 de manera diaria, respecto a la capacidad instalada asignada para la atención de dicha patología.;;;;;Permite establecer la proporción entre el número de pacientes hospitalizados  con diagnóstico presuntivo o confirmado de Covid-19 de manera diaria, respecto a la capacidad instalada asignada para la atención de dicha patología.
;;;;;;
Fecha;Camas asignadas COVID 19;Camas Ocupadas COVID 19;% Ocupación;;;
15/05/2020;1.475;568;38,51%;;;
16/05/2020;1.437;514;35,77%;;;
17/05/2020;1.507;610;40,48%;;;
18/05/2020;1.474;603;40,91%;;;
19/05/2020;1.504;571;37,97%;;;
20/05/2020;1.463;575;39,30%;;;
21/05/2020;1.570;570;36,31%;;;
22/05/2020;1.581;606;38,33%;;;
23/05/2020;1.567;594;37,91%;;;
24/05/2020;1.548;630;40,70%;;;
25/05/2020;1.547;660;42,66%;;;
26/05/2020;1.597;670;41,95%;;;
27/05/2020;1.625;717;44,12%;;;
28/05/2020;1.615;663;41,05%;;;
29/05/2020;1.576;636;40,36%;;;
30/05/2020;1.481;682;46,05%;;;
31/05/2020;1.544;704;45,60%;;;
1/06/2020;1.597;695;43,52%;;;
2/06/2020;1.535;694;45,21%;;;
3/06/2020;1.662;750;45,13%;;;
4/06/2020;1.668;751;45,02%;;;
5/06/2020;1.671;724;43,33%;;;
6/06/2020;1.556;679;43,64%;;;
7/06/2020;1.596;702;43,98%;;;
8/06/2020;1.697;764;45,02%;;;
9/06/2020;1.719;831;48,34%;;;
10/06/2020;1.639;817;49,85%;;;
11/06/2020;1.755;825;47,01%;;;
12/06/2020;1.717;886;51,60%;;;
13/06/2020;1.719;883;51,37%;;;
14/06/2020;1.720;856;49,77%;;;
15/06/2020;1.727;873;50,55%;;;
16/06/2020;1.713;963;56,22%;;;
17/06/2020;1.733;936;54,01%;;;
18/06/2020;1.731;919;53,09%;;;
19/06/2020;1.786;954;53,42%;;;
20/06/2020;1.723;932;54,09%;;;
21/06/2020;1.783;1.027;57,60%;;;
22/06/2020;1.770;1.029;58,14%;;;
23/06/2020;1.812;1.128;62,25%;;;
24/06/2020;1.800;1.115;61,94%;;;
25/06/2020;1.803;1.146;63,56%;;;
26/06/2020;1.792;1.154;64,40%;;;
27/06/2020;1.769;1.133;64,05%;;;
28/06/2020;1.796;1.181;65,76%;;;
29/06/2020;1.894;1.255;66,26%;;;
30/06/2020;1.792;1.269;70,81%;;;
1/07/2020;1.910;1.348;70,58%;;;
2/07/2020;1.860;1.375;73,92%;;;
3/07/2020;1.899;1.450;76,36%;;;
4/07/2020;1.930;1.449;75,08%;;;
5/07/2020;1.983;1.490;75,14%;;;
6/07/2020;2.065;1.560;75,54%;;;
7/07/2020;2.203;1.685;76,49%;;;
8/07/2020;2.156;1.592;73,84%;;;
9/07/2020;2.199;1.769;80,45%;;;
10/07/2020;2.202;1.834;83,29%;;;
11/07/2020;2.241;1.869;83,40%;;;
12/07/2020;2.283;1.955;85,63%;;;
13/07/2020;2.304;1.939;84,16%;;;
14/07/2020;2.312;1.978;85,55%;;;
15/07/2020;2.321;1.945;83,80%;;;
16/07/2020;2.383;2.025;84,98%;;;
17/07/2020;2.377;2.009;84,52%;;;
18/07/2020;2.394;2.046;85,46%;;;
19/07/2020;2.389;1.980;82,88%;;;
20/07/2020;2.409;2.051;85,14%;;;
21/07/2020;2.440;2.133;87,42%;;;
22/07/2020;2.492;2.172;87,16%;;;
23/07/2020;2.514;2.116;84,17%;;;
24/07/2020;2.520;2.197;87,18%;;;
25/07/2020;2.622;2.257;86,08%;;;
26/07/2020;2.623;2.242;85,47%;;;
27/07/2020;2.637;2.294;86,99%;;;
28/07/2020;2.676;2.316;86,55%;;;
29/07/2020;2.748;2.337;85,04%;;;
30/07/2020;2.752;2.334;84,81%;;;
31/07/2020;2.806;2.369;84,43%;;;
1/08/2020;2.759;2.326;84,31%;;;
2/08/2020;2.783;2.349;84,41%;;;
3/08/2020;2.819;2.336;82,87%;;;
4/08/2020;2.779;2.358;84,85%;;;
5/08/2020;2.820;2.381;84,43%;;;
6/08/2020;2.802;2.356;84,08%;;;
7/08/2020;2.857;2.440;85,40%;;;
8/08/2020;2.836;2.367;83,46%;;;
9/08/2020;2.846;2.401;84,36%;;;
10/08/2020;2.831;2.406;84,99%;;;
11/08/2020;2.836;2.323;81,91%;;;
12/08/2020;2.763;2.299;83,21%;;;
13/08/2020;2.794;2.279;81,57%;;;
14/08/2020;2.760;2.270;82,25%;;;
15/08/2020;2.712;2.175;80,20%;;;
16/08/2020;2.736;2.193;80,20%;;;
17/08/2020;2.630;2.173;82,62%;;;
18/08/2020;2.720;2.172;79,90%;;;
19/08/2020;2.747;2.193;79,80%;;;
20/08/2020;2.662;2.132;80,10%;;;
21/08/2020;2.753;2.124;77,20%;;;
22/08/2020;2.738;2.020;73,80%;;;
23/08/2020;2.694;2.020;75,00%;;;
24/08/2020;2.722;1.994;73,30%;;;
25/08/2020;2.719;1.973;72,60%;;;
26/08/2020;2.529;1.790;70,80%;;;
27/08/2020;2.623;1.908;72,70%;;;
28/08/2020;2.649;1.917;72,40%;;;
29/08/2020;2.616;1.890;72,20%;;;
30/08/2020;2.665;1.952;73,20%;;;
31/08/2020;2.695;1.873;69,50%;;;
1/09/2020;2.641;1.873;70,92%;;;
2/09/2020;2.611;1.863;71,35%;;;
3/09/2020;2.648;1.888;71,30%;;;
4/09/2020;2.603;1.829;70,27%;;;
5/09/2020;2.700;1.804;66,80%;;;
6/09/2020;2.681;1.723;64,30%;;;
7/09/2020;2.625;1.755;66,86%;;;
8/09/2020;2.612;1.731;66,30%;;;
9/09/2020;2.654;1.726;65,03%;;;
10/09/2020;2.623;1.677;63,93%;;;
11/09/2020;2.546;1.609;63,20%;;;
12/09/2020;2.547;1.559;61,21%;;;
13/09/2020;2.493;1.557;62,45%;;;
14/09/2020;2.424;1.493;61,60%;;;
15/09/2020;2.454;1.546;63,00%;;;
16/09/2020;2.409;1.593;66,10%;;;
17/09/2020;2.394;1.566;65,40%;;;
18/09/2020;2.271;1.485;65,40%;;;
19/09/2020;2.353;1.423;60,50%;;;
20/09/2020;2.326;1.401;60,20%;;;
21/09/2020;2.402;1.263;52,58%;;;
22/09/2020;2.228;1.338;60,05%;;;
23/09/2020;2.214;1.333;60,21%;;;
24/09/2020;2.149;1.257;58,49%;;;
25/09/2020;2.171;1.301;59,93%;;;
26/09/2020;2.171;1.210;55,73%;;;
27/09/2020;2.241;1.275;56,89%;;;
28/09/2020;2.127;1.268;59,60%;;;
29/09/2020;2.144;1.309;61,05%;;;
30/09/2020;2.112;1.291;61,13%;;;
1/10/2020;2.125;1.334;62,78%;;;
2/10/2020;2.076;1.244;59,92%;;;
3/10/2020;2.111;1.252;59,31%;;;
4/10/2020;2.122;1.219;57,45%;;;
5/10/2020;2.059;1.274;61,87%;;;
6/10/2020;2.040;1.248;61,18%;;;
7/10/2020;2.082;1.252;60,13%;;;
8/10/2020;1.987;1.176;59,18%;;;
9/10/2020;2.059;1.218;59,15%;;;
10/10/2020;2.058;1.144;55,59%;;;
11/10/2020;2.058;1.231;59,82%;;;
12/10/2020;1.994;1.123;56,32%;;;
13/10/2020;1.976;1.182;59,82%;;;
14/10/2020;1.921;1.141;59,40%;;;
15/10/2020;1.971;1.215;61,64%;;;
16/10/2020;1.980;1.164;58,79%;;;
17/10/2020;2.025;1.215;60,00%;;;
18/10/2020;1.957;1.152;58,87%;;;
19/10/2020;2.039;1.251;61,35%;;;
20/10/2020;1.991;1.156;58,06%;;;
21/10/2020;2.010;1.200;59,70%;;;
22/10/2020;1.968;1.137;57,77%;;;
23/10/2020;1.981;1.147;57,90%;;;
24/10/2020;1.948;1.120;57,49%;;;
25/10/2020;1.975;1.171;59,29%;;;
26/10/2020;1.942;1.180;60,76%;;;
27/10/2020;2.014;1.249;62,02%;;;
28/10/2020;1.996;1.185;59,37%;;;
29/10/2020;2.019;1.254;62,11%;;;
30/10/2020;1.991;1.253;62,93%;;;
31/10/2020;2.003;1.208;60,31%;;;
1/11/2020;1.972;1.176;59,63%;;;
2/11/2020;1.966;1.179;59,97%;;;
3/11/2020;1.963;1.216;61,95%;;;
4/11/2020;2.047;1.230;60,09%;;;
5/11/2020;2.046;1.248;61,00%;;;
6/11/2020;1.996;1.181;59,17%;;;
7/11/2020;1.939;1.086;56,01%;;;
8/11/2020;2.030;1.160;57,14%;;;
9/11/2020;1.964;1.159;59,01%;;;
10/11/2020;2.035;1.152;56,61%;;;
11/11/2020;2.000;1.179;58,95%;;;
12/11/2020;1.970;1.109;56,29%;;;
13/11/2020;1.908;1.041;54,56%;;;
14/11/2020;2.099;1.065;50,74%;;;
15/11/2020;1.950;1.064;54,56%;;;
16/11/2020;1.920;1.038;54,06%;;;
17/11/2020;1.953;1.100;56,32%;;;
18/11/2020;1.948;1.110;56,98%;;;
19/11/2020;1.946;1.082;55,60%;;;
20/11/2020;1.962;1.110;56,57%;;;
21/11/2020;1.907;1.083;56,79%;;;
22/11/2020;1.942;1.075;55,36%;;;
23/11/2020;1.946;1.106;56,83%;;;
24/11/2020;1.962;1.136;57,90%;;;
25/11/2020;1.897;1.103;58,14%;;;
26/11/2020;1.973;1.186;60,11%;;;
27/11/2020;1.924;1.059;55,04%;;;
28/11/2020;1.878;1.079;57,45%;;;
29/11/2020;1.955;1.152;58,93%;;;
30/11/2020;1.913;1.090;56,98%;;;
1/12/2020;1.935;1.156;59,74%;;;
2/12/2020;1.913;1.214;63,46%;;;
3/12/2020;1.888;1.163;61,60%;;;
4/12/2020;1.858;1.133;60,98%;;;
5/12/2020;1.902;1.179;61,99%;;;
6/12/2020;1.877;1.157;61,64%;;;
7/12/2020;1.914;1.202;62,80%;;;
8/12/2020;1.882;1.180;62,70%;;;
9/12/2020;1.907;1.192;62,51%;;;
10/12/2020;1.845;1.192;64,61%;;;
11/12/2020;1.914;1.213;63,38%;;;
12/12/2020;1.849;1.186;64,14%;;;
13/12/2020;1.877;1.149;61,21%;;;
14/12/2020;1.878;1.223;65,12%;;;
15/12/2020;1.894;1.236;65,26%;;;
16/12/2020;1.918;1.243;64,81%;;;
17/12/2020;1.950;1.246;63,90%;;;
18/12/2020;1.964;1.272;64,77%;;;
19/12/2020;1.938;1.323;68,27%;;;
20/12/2020;1.917;1.318;68,75%;;;
21/12/2020;2.029;1.409;69,44%;;;
22/12/2020;1.975;1.444;73,11%;;;
23/12/2020;2.086;1.477;70,81%;;;
24/12/2020;2.143;1.457;67,99%;;;
25/12/2020;2.197;1.468;66,82%;;;
26/12/2020;2.149;1.548;72,03%;;;
27/12/2020;2.216;1.564;70,58%;;;
28/12/2020;2.173;1.661;76,44%;;;
29/12/2020;2.253;1.725;76,56%;;;
30/12/2020;2.361;1.796;76,07%;;;
31/12/2020;2.392;1.768;73,91%;;;
1/01/2021;2.351;1.694;72,05%;;;
2/01/2021;2.400;1.800;75,00%;;;
3/01/2021;2.420;1.853;76,57%;;;
4/01/2021;2.446;1.848;75,55%;;;
5/01/2021;2.374;1.904;80,20%;;;
6/01/2021;2.391;1.968;82,31%;;;
7/01/2021;2.402;1.979;82,39%;;;
8/01/2021;2.428;1.926;79,32%;;;
9/01/2021;2.440;2.011;82,42%;;;
10/01/2021;2.450;1.983;80,94%;;;
11/01/2021;2.454;2.054;83,70%;;;
12/01/2021;2.409;2.023;83,98%;;;
13/01/2021;2.426;2.016;83,10%;;;
14/01/2021;2.442;1.975;80,88%;;;
15/01/2021;2.465;2.030;82,35%;;;
16/01/2021;2.445;2.056;84,09%;;;
17/01/2021;2.452;1.976;80,59%;;;
18/01/2021;2.455;2.087;85,01%;;;
19/01/2021;2.487;2.066;83,07%;;;
20/01/2021;2.436;1.969;80,83%;;;
21/01/2021;2.495;1.989;79,72%;;;
22/01/2021;2.526;2.088;82,66%;;;
23/01/2021;2.545;2.082;81,81%;;;
24/01/2021;2.535;2.036;80,32%;;;
25/01/2021;2.558;2.026;79,20%;;;
26/01/2021;2.541;1.887;74,26%;;;
27/01/2021;2.593;1.878;72,43%;;;
28/01/2021;2.552;1.788;70,06%;;;
29/01/2021;2.544;1.760;69,18%;;;
30/01/2021;2.531;1.732;68,43%;;;
31/01/2021;2.431;1.647;67,75%;;;
1/02/2021;2.479;1.635;65,95%;;;
2/02/2021;2.474;1.606;64,92%;;;
3/02/2021;2.367;1.503;63,50%;;;
4/02/2021;2.338;1.414;60,48%;;;
5/02/2021;2.264;1.366;60,34%;;;
6/02/2021;2.230;1.290;57,85%;;;
7/02/2021;2.235;1.282;57,36%;;;
8/02/2021;2.158;1.206;55,89%;;;
9/02/2021;2.073;1.180;56,92%;;;
10/02/2021;2.104;1.226;58,27%;;;
11/02/2021;2.067;1.165;56,36%;;;
12/02/2021;2.041;1.138;55,76%;;;
13/02/2021;2.029;1.077;53,08%;;;
14/02/2021;2.046;1.085;53,03%;;;
15/02/2021;1.956;1.025;52,40%;;;
16/02/2021;1.956;1.020;52,15%;;;
17/02/2021;1.827;947;51,83%;;;
18/02/2021;1.791;925;51,65%;;;
19/02/2021;1.803;883;48,97%;;;
20/02/2021;1.799;900;50,03%;;;
21/02/2021;1.808;917;50,72%;;;
22/02/2021;1.724;864;50,12%;;;
